Q,A,Label
나도 시켜줘,알았어 얼른와,2
나도 먹을래,알았어 얼른와,2
나도 짜장면 먹을래,알았어 얼른와,2
나도 짜장 먹을래,알았어 얼른와,2
나도 짬뽕 먹을래,알았어 얼른와,2
나도 탕수육 먹을래,알았어 얼른와,2
나도 깐풍기 먹을래,알았어 얼른와,2
나도 울면 먹을래,알았어 얼른와,2
나도 냉면 먹을래,알았어 얼른와,2
나도 군만두 먹을래,알았어 얼른와,2
나도 우동 먹으랠,알았어 얼른와,2
나도 짜장밥 먹을래,알았어 얼른와,2
나도 잡채밥 먹을래,알았어 얼른와,2
나도 간짜장 먹을래,알았어 얼른와,2
나도 쟁반짜장 먹을래,알았어 얼른와,2
나도 고추잡채 먹을래,알았어 얼른와,2
나도 양장피 먹을래,알았어 얼른와,2
나도 팔보채 먹을래,알았어 얼른와,2
나도 물만두 먹을래,알았어 얼른와,2
나도 칠리새우 먹을래,알았어 얼른와,2
나도 잡채 먹을래,알았어 얼른와,2
나도 마파두부 먹을래,알았어 얼른와,2
나도 유산슬 먹을래,알았어 얼른와,2
나도 닌자완스 먹을래,알았어 얼른와,2
나도 짬뽕밥 먹을래,알았어 얼른와,2
나도 라조기 먹을래,알았어 얼른와,2
나도 유린기 먹을래,알았어 얼른와,2
나도 깐쇼새우 먹을래,알았어 얼른와,2
나도 밥 먹을래,알았어 얼른와,2
나도 덮밥 먹을래,알았어 얼른와,2
나도 비빔밥 먹을래,알았어 얼른와,2
나도 볶음밥 먹을래,알았어 얼른와,2
나도 고기 먹을래,알았어 얼른와,2
나도 삼겹살 먹을래,알았어 얼른와,2
나도 목살 먹을래,알았어 얼른와,2
나도 전지 먹을래,알았어 얼른와,2
나도 보쌈 먹을래,알았어 얼른와,2
나도 족발 먹을래,알았어 얼른와,2
나도 등심 먹을래,알았어 얼른와,2
나도 돼지 껍데기 먹을래,알았어 얼른와,2
나도 과일 먹을래,알았어 얼른와,2
나도 사과 먹을래,알았어 얼른와,2
나도 배 먹을래,알았어 얼른와,2
나도 키위 먹을래,알았어 얼른와,2
나도 귤 먹을래,알았어 얼른와,2
나도 오렌지 먹을래,알았어 얼른와,2
나도 감 먹을래,알았어 얼른와,2
나도 수박 먹을래,알았어 얼른와,2
나도 바나나 먹을래,알았어 얼른와,2
나도 파인애플 먹을래,알았어 얼른와,2
나도 포도 먹을래,알았어 얼른와,2
나도 체리 먹을래,알았어 얼른와,2
나도 멜론 먹을래,알았어 얼른와,2
나도 망고 먹을래,알았어 얼른와,2
나도 레몬 먹을래,알았어 얼른와,2
나도 용과 먹을래,알았어 얼른와,2
나도 자두 먹을래,알았어 얼른와,2
나도 복숭아 먹을래,알았어 얼른와,2
나도 블루베리 먹을래,알았어 얼른와,2
나도 천도복숭아 먹을래,알았어 얼른와,2
나도 무화과 먹을래,알았어 얼른와,2
나도 천해향 먹을래,알았어 얼른와,2
나도 한라봉 먹을래,알았어 얼른와,2
나도 레드향 먹을래,알았어 얼른와,2
나도 참외 먹을래,알았어 얼른와,2
나도 토마토 먹을래,알았어 얼른와,2
나도 딸기 먹을래,알았어 얼른와,2
나도 방울토마토 먹을래,알았어 얼른와,2
나도 석류 먹을래,알았어 얼른와,2
나도 대추 먹을래,알았어 얼른와,2
나도 라임 먹을래,알았어 얼른와,2
나도 구아바 먹을래,알았어 얼른와,2
나도 아보카도 먹을래,알았어 얼른와,2
나도 자몽 먹을래,알았어 얼른와,2
나도 살구 먹을래,알았어 얼른와,2
나도 홍시 먹을래,알았어 얼른와,2
나도 밤 먹을래,알았어 얼른와,2
나도 샤인 머스캣 먹을래,알았어 얼른와,2
나도 곶감 먹을래,알았어 얼른와,2
나도 앵두 먹을래,알았어 얼른와,2
나도 크랜베리 먹을래,알았어 얼른와,2
나도 라즈베리 먹을래,알았어 얼른와,2
나도 골드키위 먹을래,알았어 얼른와,2
나도 망고스틴 먹을래,알았어 얼른와,2
나도 거봉 먹을래,알았어 얼른와,2
나도 청포도 먹을래,알았어 얼른와,2
나도 오미자 먹을래,알았어 얼른와,2
나도 코코넛 먹을래,알았어 얼른와,2
나도 패션 프루트 먹을래,알았어 얼른와,2
나도 스타 프루트 먹을래,알았어 얼른와,2
나도 리치 먹을래,알았어 얼른와,2
나도 람부탄 먹을래,알았어 얼른와,2
나도 파파야 먹을래,알았어 얼른와,2
나도 아로니아 먹을래,알았어 얼른와,2
나도 시켜줘,알았어 얼른와,2
나도 먹을래,알았어 얼른와,2
나도 짜장면 먹을래,알았어 시켜놓을게,2
나도 짜장면 먹을래,알았어 얼른와,2
나도 짜장 먹을래,알았어 얼른와,2
나도 짜장 먹을래,알았어 시켜놓을게,2
나도 짬뽕 먹을래,알았어 얼른와,2
나도 탕수육 먹을래,알았어 얼른와,2
나도 깐풍기 먹을래,알았어 얼른와,2
나도 울면 먹을래,알았어 얼른와,2
나도 냉면 먹을래,알았어 얼른와,2
나도 군만두 먹을래,알았어 얼른와,2
나도 우동 먹으랠,알았어 얼른와,2
나도 짜장밥 먹을래,알았어 얼른와,2
나도 잡채밥 먹을래,알았어 얼른와,2
나도 간짜장 먹을래,알았어 얼른와,2
나도 쟁반짜장 먹을래,알았어 얼른와,2
나도 고추잡채 먹을래,알았어 얼른와,2
나도 양장피 먹을래,알았어 얼른와,2
나도 팔보채 먹을래,알았어 얼른와,2
나도 물만두 먹을래,알았어 얼른와,2
나도 칠리새우 먹을래,알았어 얼른와,2
나도 잡채 먹을래,알았어 얼른와,2
나도 마파두부 먹을래,알았어 얼른와,2
나도 유산슬 먹을래,알았어 얼른와,2
나도 닌자완스 먹을래,알았어 얼른와,2
나도 짬뽕밥 먹을래,알았어 얼른와,2
나도 라조기 먹을래,알았어 얼른와,2
나도 유린기 먹을래,알았어 얼른와,2
나도 깐쇼새우 먹을래,알았어 얼른와,2
나도 밥 먹을래,알았어 얼른와,2
나도 덮밥 먹을래,알았어 얼른와,2
나도 비빔밥 먹을래,알았어 얼른와,2
나도 볶음밥 먹을래,알았어 얼른와,2
나도 고기 먹을래,알았어 얼른와,2
나도 삼겹살 먹을래,알았어 얼른와,2
나도 목살 먹을래,알았어 얼른와,2
나도 전지 먹을래,알았어 얼른와,2
나도 보쌈 먹을래,알았어 얼른와,2
나도 족발 먹을래,알았어 얼른와,2
나도 등심 먹을래,알았어 얼른와,2
나도 돼지 껍데기 먹을래,알았어 얼른와,2
나도 과일 먹을래,알았어 얼른와,2
나도 사과 먹을래,알았어 얼른와,2
나도 배 먹을래,알았어 얼른와,2
나도 키위 먹을래,알았어 얼른와,2
나도 귤 먹을래,알았어 얼른와,2
나도 오렌지 먹을래,알았어 얼른와,2
나도 감 먹을래,알았어 얼른와,2
나도 수박 먹을래,알았어 얼른와,2
나도 바나나 먹을래,알았어 얼른와,2
